Crop,N,P,K,Temperature,Humidity,pH,Rainfall,State,Season,Price
rice,98,54,42,25.986584841970366,77.34027960663654,5.389986300840507,186.97003346018394,Andhra Pradesh,Zaid,262.53
maize,95,42,22,24.50888472948853,56.12823158054201,6.94399754453365,116.313162540945,Karnataka,Rabi,20.22
rice,80,35,44,25.24756431632238,81.47917527963173,5.728072850495105,253.42234736668553,West Bengal,Kharif,59.06
coffee,107,35,27,24.294771947602975,69.66461771613577,6.70014433987197,188.79523253890565,Maharashtra,Kharif,210.49
rice,68,41,36,29.488855372533333,89.4844804961184,7.020993370291153,216.5536523008045,Andhra Pradesh,Rabi,47.35
maize,79,49,21,24.09996657782621,71.66389823472329,5.846729307015544,83.46363645439445,Punjab,Kharif,71.03
coffee,83,21,30,23.247649977209132,61.35400655639983,6.046969938683338,187.3827819675999,Karnataka,Post-Monsoon,145.93
maize,69,38,22,23.704439744053992,65.41668520051647,7.422344048698698,110.67203092068908,Maharashtra,Zaid,229.25
rice,83,59,43,22.962735057040824,77.47900408594504,5.039091016852985,230.80817768476436,Uttar Pradesh,Rabi,130.57
jute,67,58,37,27.94800140693332,85.9351075206148,7.156905520028919,157.40446517340905,Tamil Nadu,Zaid,120.37
maize,87,41,23,24.23298126827558,61.617960497052984,5.6271167005720475,78.65893930293973,Karnataka,Zaid,111.05
rice,94,46,42,22.747217929900643,83.41865138771551,5.957317186884475,296.6054514466924,Andhra Pradesh,Post-Monsoon,257.7
rice,64,57,41,20.404335895384314,85.6599433452868,5.277227052029579,232.72038022389242,Tamil Nadu,Zaid,76.48
coffee,111,26,25,23.88613588645796,60.17141382329406,7.361349710889139,139.94337833191,Tamil Nadu,Kharif,134.91
jute,88,38,41,25.028260170396376,77.41831930881007,7.39454647851386,230.8120379564417,Punjab,Kharif,197.35
jute,65,46,38,29.247912989429842,83.09013362873476,7.211160232746094,239.60912999234932,Andhra Pradesh,Zaid,109.04
coffee,112,20,33,25.886140723248175,50.01040753990632,6.5288532845012535,144.3825006526423,Uttar Pradesh,Zaid,66.1
coffee,106,28,29,26.15461619734162,55.38824667597043,6.366188283371661,133.46328337383446,Karnataka,Kharif,81.25
rice,83,43,38,23.63629602379294,89.57673124081441,7.406118237355278,210.2138754990437,West Bengal,Rabi,159.23
cotton,136,51,22,22.368869473545328,79.14346500969845,7.005358046457723,63.08872507499936,Andhra Pradesh,Rabi,98.02
rice,92,35,37,26.80705451554767,82.96401874975705,6.119457911432729,246.34717068855934,Maharashtra,Zaid,185.96
jute,70,58,35,28.097514440283017,80.5167469907888,6.9484587458903695,213.35297107608946,West Bengal,Zaid,170.02
maize,75,35,23,21.20780064971736,58.73037020799708,5.581550283109528,95.4535765912945,Tamil Nadu,Zaid,209.72
maize,78,37,17,21.486659872917294,56.92353102182842,7.381046528979208,83.85432126525134,West Bengal,Zaid,164.97
rice,99,35,43,21.13473521240589,88.87040427417844,7.193348383452452,210.95299532581868,Punjab,Rabi,204.8
coffee,105,35,33,25.099815347626084,55.21658349660818,7.494380549636887,197.2335481031035,West Bengal,Rabi,176.32
maize,91,57,23,20.788713525921818,69.00715659945543,7.193322284476611,111.37945751268555,Maharashtra,Post-Monsoon,133.26
cotton,132,58,18,22.84139964995049,72.4244307114192,7.797108377054158,96.3857435795754,West Bengal,Rabi,22.58
cotton,124,37,23,22.050615838462186,72.41212077126248,7.0974675787331725,101.5137118615616,Uttar Pradesh,Kharif,202.55
maize,95,35,18,20.372490874968,61.507993963185356,6.9929828102360485,98.97797394283288,Uttar Pradesh,Kharif,257.78
cotton,116,35,17,28.36332618185895,73.75692727908377,7.179741695121088,118.73357149650055,Maharashtra,Zaid,156.29
rice,67,36,39,25.026370931051922,83.65355826939539,6.23129423454716,203.42915853576534,Karnataka,Zaid,222.29
maize,78,38,17,25.68554014306309,55.872075435088675,7.489101021594682,88.19667083945657,West Bengal,Post-Monsoon,98.28
jute,65,37,43,29.671502929167673,79.9612545700577,6.8291474502532346,207.22924691708383,West Bengal,Post-Monsoon,294.49
maize,80,57,15,21.169220051562775,58.38985493372185,6.6136025249167005,116.16928644964686,Tamil Nadu,Rabi,214.89
maize,99,48,22,20.0891871761536,68.42287033648101,6.217293562592328,75.24981894418433,West Bengal,Zaid,102.68
coffee,105,36,32,26.182094445971607,64.04968167974218,6.539236726829633,143.48734754115947,Maharashtra,Post-Monsoon,246.62
cotton,134,52,23,28.115137108656803,71.2239127060036,6.0103697255479736,97.67366489691815,Karnataka,Rabi,74.4
coffee,87,33,27,24.027970941109213,57.511659052798876,6.140972909761303,166.26241127969394,Maharashtra,Kharif,30.06
rice,84,56,44,28.60404618311675,78.75377040773796,5.097086836073558,216.39186176078675,Uttar Pradesh,Kharif,170.38
maize,96,35,22,25.69993553098611,59.316420549936865,6.745780951638,65.12084789962609,West Bengal,Rabi,34.47
jute,89,49,37,27.462009310487446,85.89137000583992,7.463778119193802,201.63003483011954,Punjab,Kharif,110.43
jute,76,58,37,26.072799944939455,76.17684572013398,6.038026115123186,246.2648414677925,Maharashtra,Post-Monsoon,254.07
coffee,88,31,29,22.34916157305066,68.3042745525296,6.663528344596656,139.18298873259226,Tamil Nadu,Kharif,46.28
rice,84,42,39,26.382705938433503,82.7504438613985,6.642778321250417,232.2807478413469,West Bengal,Zaid,224.41
cotton,102,46,24,25.559726786512616,81.36769165696553,6.028786977259512,66.96435843041498,Andhra Pradesh,Zaid,32.88
jute,89,48,38,24.22731188922537,75.25741652747625,7.145046634505866,230.69129770507794,Karnataka,Post-Monsoon,116.97
rice,89,39,41,20.480589241970335,89.2371859738708,7.216700968245119,211.30723480100568,West Bengal,Zaid,24.29
coffee,98,20,32,25.95216178971367,53.258688541628594,6.105853121100645,171.39354225650524,Uttar Pradesh,Rabi,27.42
coffee,111,39,32,26.06301005429789,61.46734083343867,6.192750529850866,184.89633413888023,Andhra Pradesh,Zaid,249.78
coffee,91,22,25,27.767143382943487,68.10701283912127,6.293686702183945,125.54890407001324,Punjab,Rabi,48.22
maize,61,53,16,24.83006773416357,56.42377296920458,6.137951260587522,110.69251865816727,Tamil Nadu,Rabi,26.52
coffee,113,38,33,24.97622472576044,63.857807173838786,6.522504906679796,194.93185214845658,Uttar Pradesh,Kharif,30.97
coffee,104,23,34,24.54082565384871,61.37040567499916,6.863886862887127,178.53182042397123,Tamil Nadu,Post-Monsoon,55.75
rice,98,58,41,29.307573256035646,87.87619127764518,6.072485068437546,270.10452813497966,Andhra Pradesh,Zaid,231.27
cotton,129,51,15,27.052523724478572,82.39686199161612,6.640099202061224,113.73139370977202,Karnataka,Kharif,128.98
maize,71,43,17,18.912866767861335,61.3862727518083,7.40012393410161,117.03642881625336,Punjab,Kharif,180.56
rice,75,55,39,22.932107716980646,79.92996818054874,6.681296140192596,270.2849435325216,West Bengal,Post-Monsoon,241.64
rice,98,47,39,24.944203047025816,75.86338140024966,6.373822205809339,232.98366016480526,Uttar Pradesh,Rabi,268.56
maize,70,52,23,25.61510631717472,67.36436126632522,5.702245352245581,65.04640836689984,West Bengal,Post-Monsoon,216.27
coffee,88,37,34,22.87962893015215,60.26652337384786,6.349842108636792,166.50443337814258,Karnataka,Zaid,261.68
coffee,101,39,25,27.683491464303152,69.72002127645742,7.130067277888412,150.10076684247326,Uttar Pradesh,Post-Monsoon,43.38
maize,98,44,24,21.302525290190985,63.689036889765426,6.007364347746277,84.31212520688503,Punjab,Rabi,180.01
cotton,119,42,23,29.44211656943298,80.21559140645364,6.475012942584939,84.01337357232148,Maharashtra,Zaid,153.76
jute,84,58,35,24.56517086963617,89.44833809160917,6.018231712034725,246.9878826707639,Punjab,Post-Monsoon,32.08
rice,80,50,40,29.24643330223596,88.7867357291799,5.632475419973103,263.44933477279767,Karnataka,Rabi,41.12
rice,73,49,35,26.275580800840636,83.7647146788465,7.252895026227472,185.45356564097494,Tamil Nadu,Kharif,98.67
coffee,111,35,32,24.36713079164878,52.13512131871769,6.503490097195445,133.57439231164525,Punjab,Rabi,201.12
coffee,87,37,29,27.846368845997,69.72421488959206,7.047242571029617,162.88770930752963,Karnataka,Kharif,106.67
rice,79,47,37,28.22537242923169,89.24699869937886,6.8142987709709,253.60982351229478,West Bengal,Kharif,137.11
maize,89,52,19,18.26366974497252,62.529267337560995,7.121106661563665,119.23656775889667,Andhra Pradesh,Kharif,62.12
cotton,120,59,20,30.291642207065145,78.53622203748621,6.1270236591800025,62.20931205815948,Andhra Pradesh,Rabi,57.48
cotton,120,50,21,30.64722376255053,82.19351513695116,7.999435346572261,119.79821022443431,West Bengal,Post-Monsoon,175.52
maize,96,55,19,25.570812020424558,62.55701098551573,5.9821696646592635,72.3027197103915,Punjab,Rabi,90.4
coffee,92,23,25,26.03020410643514,62.36256480915792,6.537244077049261,129.08460737597034,Punjab,Post-Monsoon,208.04
maize,93,56,20,26.313714900625012,61.15554479542099,7.132771470426125,118.07842592638939,Uttar Pradesh,Post-Monsoon,44.75
jute,76,50,41,28.285960789715332,84.30464327030197,7.056119652148835,171.29641615089108,Karnataka,Kharif,58.18
rice,93,40,36,25.89917686854633,80.88366067649598,6.093687305059323,288.4990433392498,West Bengal,Post-Monsoon,117.51
cotton,137,35,22,31.104712784032728,74.46939177312926,7.047204552030022,101.8585122896078,Maharashtra,Post-Monsoon,243.01
jute,69,58,35,26.44481405155677,78.87366582448438,6.688703634357392,248.0032575285477,Uttar Pradesh,Kharif,157.93
rice,72,45,37,25.372634167140703,81.90178738475358,6.461915264872884,228.03605866923377,Andhra Pradesh,Post-Monsoon,215.35
cotton,103,42,18,25.45667283323863,83.45182614859017,6.947923280525744,100.05346431126162,Uttar Pradesh,Kharif,68.25
